Sampling Date,Carlson Index,Water Temperature,pH Value,Conductivity,Dissolved Oxygen (Electrode Method),Transparency,Chlorophyll-a,Total Phosphorus,Turbidity,Suspended Solids,Chemical Oxygen Demand,Ammonia Nitrogen
2017-01-16,36.0,20.1,6.9,69.0,7.75,5.15,1.1,0.01,1.15,1.0,3.1,0.05
2017-02-22,38.5,20.45,7.1,64.0,7.15,5.05,2.2,0.01,0.78,2.5,3.0,0.01
2017-03-06,34.5,18.15,7.3,67.0,8.8,6.45,2.65,0.0,0.8,2.5,3.5,0.03
2017-04-10,36.0,24.3,7.05,65.0,8.15,6.2,2.7,0.01,0.82,2.5,3.05,0.01
2017-05-08,40.0,25.3,7.45,72.0,8.6,5.0,3.1,0.01,0.82,2.5,3.5,0.06
2017-06-14,38.0,27.5,7.75,67.5,7.2,3.65,2.4,0.01,1.65,2.5,3.0,0.03
2017-07-08,39.5,31.2,8.1,66.5,7.0,3.85,2.75,0.01,1.25,2.5,3.2,0.04
2017-08-07,40.5,31.9,7.95,68.0,6.7,3.45,2.75,0.01,1.4,2.5,3.0,0.04
2017-09-11,39.5,30.95,8.0,73.0,6.8,3.75,2.8,0.01,1.4,2.5,3.1,0.04
2017-10-25,37.0,24.55,7.25,73.5,6.6,3.95,2.85,0.01,1.35,2.5,3.45,0.05
2017-11-13,36.5,23.75,7.0,69.5,7.3,5.85,2.9,0.01,0.92,2.5,3.5,0.04
2017-12-11,36.5,21.05,7.35,59.0,6.95,4.65,2.75,0.01,1.5,2.5,2.7,0.04
2018-01-22,37.0,18.9,7.25,68.0,8.0,5.8,2.8,0.01,0.82,2.5,3.5,0.04
2018-02-05,36.0,17.1,7.35,71.0,8.7,6.75,2.8,0.01,0.78,2.5,4.0,0.05
2018-03-05,33.5,23.0,6.75,71.0,8.9,5.1,1.6,0.0,1.15,1.0,3.0,0.05
2018-04-09,33.0,22.35,7.6,75.0,9.15,4.7,1.4,0.01,1.6,1.7,5.5,0.05
2018-05-07,35.0,26.4,8.1,78.5,7.95,4.8,1.0,0.01,1.55,1.05,3.0,0.05
2018-06-04,38.5,29.85,7.7,104.5,7.95,3.75,1.5,0.01,2.6,1.45,3.0,0.05
2018-07-02,38.5,30.1,7.8,78.5,6.8,3.55,1.5,0.01,2.25,1.0,3.3,0.05
2018-08-03,37.5,32.25,8.4,77.5,8.55,4.45,1.55,0.01,1.3,1.4,3.0,0.05
2018-09-20,38.5,29.7,7.75,96.0,7.55,4.6,2.33,0.01,1.1,1.0,3.0,0.01
2018-10-01,38.0,27.2,7.4,113.5,7.25,5.05,2.6,0.01,0.9,1.0,3.0,0.01
2018-11-05,38.0,23.65,7.3,72.0,8.3,5.4,2.5,0.01,0.95,1.0,3.7,0.01
2018-12-03,35.5,23.6,7.7,96.5,6.95,5.4,1.45,0.01,0.85,1.0,3.0,0.01
2019-01-19,30.65,20.9,7.6,87.0,7.3,8.7,0.95,0.01,0.6,1.15,3.1,0.01
2019-02-11,34.2,19.55,7.3,68.5,8.35,6.3,1.1,0.01,0.65,1.0,3.0,0.01
2019-03-04,33.25,20.0,7.2,92.0,8.8,6.65,1.2,0.01,0.7,1.0,3.1,0.01
2019-04-08,29.7,24.85,7.9,71.0,8.95,4.65,0.3,0.01,1.3,1.0,3.0,0.05
2019-05-06,40.4,23.5,7.95,73.5,8.75,4.75,4.05,0.01,1.3,2.5,3.1,0.01
2019-06-10,39.0,28.4,8.6,72.5,8.45,4.65,3.9,0.01,1.3,1.15,3.1,0.01
2019-07-01,38.65,30.5,8.8,76.5,8.25,3.85,2.55,0.01,1.9,1.9,3.1,0.01
2019-08-05,39.65,31.45,8.8,80.0,8.1,4.15,2.6,0.01,2.0,1.4,3.6,0.05
2019-09-02,39.95,30.15,8.5,99.5,9.05,4.3,3.6,0.01,1.7,1.35,4.3,0.05
2019-10-16,42.55,26.0,7.55,99.5,7.85,4.4,4.65,0.02,1.15,1.0,3.1,0.01
2019-11-04,38.4,23.95,6.9,73.0,7.05,5.0,2.35,0.01,1.05,1.25,3.2,0.01
2019-12-02,36.45,21.35,7.2,74.0,7.2,5.0,2.0,0.01,1.3,1.1,3.1,0.01
2020-01-13,36.15,20.0,7.4,71.0,8.8,6.8,1.4,0.01,0.82,1.0,4.8,0.05
2020-02-03,34.45,19.8,7.3,73.5,7.7,6.05,1.2,0.01,0.8,1.1,3.2,0.05
2020-03-19,32.25,20.05,7.8,76.5,9.05,5.9,1.4,0.0,0.85,1.0,3.2,0.05
2020-04-06,36.75,20.3,7.75,83.0,9.3,5.15,2.35,0.01,0.98,1.0,3.2,0.05
2020-05-04,33.9,26.75,8.1,89.5,9.0,5.35,1.25,0.01,0.75,1.0,3.6,0.01
2020-06-08,39.8,28.6,8.8,77.5,7.9,3.9,3.55,0.01,1.7,1.0,3.7,0.05
2020-07-06,40.45,31.85,8.7,76.0,8.3,3.65,2.2,0.01,1.5,1.0,4.45,0.01
2020-08-05,41.65,30.9,8.4,80.5,8.15,3.15,2.4,0.01,1.75,1.0,3.7,0.05
2020-09-07,39.35,30.0,8.05,82.0,7.55,4.15,4.2,0.01,1.1,2.8,4.25,0.05
2020-10-12,37.2,27.15,7.35,84.5,7.0,4.75,2.4,0.01,0.95,-1.0,3.1,0.01
2020-11-02,39.95,23.9,7.35,84.5,8.1,4.25,4.1,0.01,0.95,-1.0,3.2,0.01
2020-12-07,38.0,22.0,7.4,78.5,6.8,5.9,2.8,0.01,0.62,-1.0,3.4,0.01
2021-01-28,41.45,18.4,7.1,73.0,9.3,4.6,4.45,0.01,1.25,1.7,4.8,0.05
2021-02-01,36.15,19.1,7.95,70.5,8.9,6.05,2.1,0.01,1.0,1.1,8.3,0.02
2021-03-15,34.7,20.45,7.6,73.0,9.15,6.3,1.2,0.01,1.15,1.0,8.3,0.01
2021-04-13,35.5,23.4,8.0,73.5,8.8,3.5,1.45,0.01,1.5,1.0,8.3,0.01
2021-05-04,38.1,24.95,7.5,75.5,8.9,3.1,1.2,0.01,1.4,1.0,8.3,0.01
2021-06-01,38.65,29.15,8.25,75.5,8.1,3.9,1.45,0.01,1.8,1.0,8.3,0.01
2021-07-05,36.55,30.95,8.4,75.0,8.65,4.4,1.35,0.01,1.0,1.0,8.3,0.02
2021-08-02,39.4,30.15,8.85,73.5,8.5,4.05,1.9,0.01,1.25,1.0,8.3,0.02
2021-09-13,37.2,29.65,9.0,72.0,7.95,3.45,3.85,0.0,1.45,2.8,8.3,0.02
2021-10-04,37.0,29.0,7.0,74.0,8.65,4.45,4.45,0.01,1.0,-1.0,8.3,0.02
2021-11-08,38.35,23.85,7.3,68.0,7.35,4.7,2.55,0.01,0.78,-1.0,8.3,0.02
2021-12-06,36.35,22.1,7.05,70.0,6.9,4.35,1.15,0.01,0.85,-1.0,8.3,0.01
2022-01-21,37.0,19.4,6.75,66.0,8.2,5.55,2.0,0.01,0.35,1.7,3.2,0.01
2022-02-14,35.0,18.4,7.2,69.0,7.25,6.0,2.0,0.01,0.65,1.1,3.2,0.03
2022-03-07,38.0,18.75,7.7,70.0,8.9,5.4,3.1,0.01,0.98,1.0,3.2,0.01
2022-04-11,38.0,23.95,7.85,69.0,8.6,4.95,2.4,0.01,0.98,1.0,3.2,0.06
2022-05-09,34.5,25.3,8.0,81.0,8.8,5.3,1.75,0.01,0.82,1.0,3.5,0.05
2022-06-01,36.0,27.6,8.0,66.5,8.3,2.75,1.45,0.01,1.2,1.0,4.15,0.05
2022-07-04,40.0,31.2,8.9,90.5,9.05,3.6,3.3,0.01,1.35,1.0,4.35,0.05
2022-08-01,42.0,32.75,8.75,75.0,7.3,3.0,3.2,0.01,1.8,1.0,5.4,0.0
2022-09-15,40.5,28.5,7.45,68.0,7.6,3.5,3.55,0.01,1.45,2.8,2.65,0.04
2022-10-03,41.0,29.1,8.85,72.5,8.65,4.1,3.6,0.01,0.95,-1.0,4.8,0.03
2022-11-07,39.0,23.3,7.2,64.0,7.8,4.75,2.75,0.01,1.0,-1.0,2.35,0.01
2022-12-05,37.0,21.95,7.65,63.0,7.6,5.3,1.95,0.01,0.8,-1.0,3.17,0.02
