Date,Wind Speed (m/s),Atmospheric Pressure (mb),Solar Radiation (cal/cm2),Evaporation (mm),Relative Humidity (%),Max Temperature,Min Temperature,Average Temperature,Daily Rainfall
2017-01-16,1.6,1012.1,59.1,1.9,79,15.4,12.7,14.3,3.5
2017-02-22,1.0,1005.3,267.7,1.3,84,24.0,17.0,19.0,21.0
2017-03-06,0.4,1005.4,95.5,1.9,87,17.9,12.7,14.7,25.5
2017-04-10,1.5,995.0,373.9,3.1,68,35.2,21.6,26.9,0.0
2017-05-08,0.8,1001.5,289.9,2.5,76,32.2,19.9,25.1,0.0
2017-06-14,0.5,997.9,47.4,1.6,86,25.4,22.2,24.0,50.0
2017-07-08,0.8,1001.9,446.6,9.4,76,35.8,23.4,27.3,29.5
2017-08-07,0.8,995.2,585.5,2.7,70,37.8,26.3,31.2,0.0
2017-09-11,0.8,999.6,517.3,2.7,72,35.0,23.7,28.5,0.0
2017-10-25,0.8,1009.5,115.7,2.1,79,23.1,17.1,20.2,0.0
2017-11-13,0.3,1003.3,47.9,1.6,90,22.7,20.3,21.6,26.5
2017-12-11,1.6,1010.2,66.5,2.3,71,17.1,14.4,16.0,0.0
2018-01-22,2.1,1004.8,0.0,2.6,80,18.7,15.9,17.0,3.5
2018-02-05,0.2,1016.5,125.0,2.7,88,7.9,6.6,7.0,24.5
2018-03-05,1.3,1003.9,253.4,6,84,30.2,15.7,21.4,23.0
2018-04-09,1.6,1007.9,376.2,4.3,71,26.8,12.0,19.1,0.0
2018-05-07,0.7,997.7,484.7,2.5,80,32.5,22.6,26.7,0.0
2018-06-04,1.1,999.0,907.1,2.9,78,34.9,22.5,27.5,0.0
2018-07-02,0.7,991.8,893.9,4.4,76,34.6,23.2,27.9,0.0
2018-08-03,0.3,995.3,320.3,0.7,6,24.7,23.8,24.3,15.5
2018-09-20,0.8,1000.5,936.5,2.6,78,35.4,22.1,27.7,0.0
2018-10-01,1.5,1004.8,749.1,0.7,68,30.3,17.3,23.3,0.0
2018-11-05,0.7,1007.0,87.7,0,88,25.2,20.6,22.6,12.0
2018-12-03,0.5,1006.9,497.6,2.9,75,31.5,16.4,21.3,0.0
2019-01-19,0.9,1009.8,410.1,2.7,78,24.9,12.3,17.5,0.0
2019-02-11,3.0,1015.6,462.0,2.6,83,18.4,14.6,16.4,1.0
2019-03-04,2.3,1006.2,557.7,2.8,79,20.2,15.9,17.2,0.0
2019-04-08,1.2,1002.1,648.7,4,75,33.0,19.5,24.9,0.0
2019-05-06,1.0,1001.7,1037.8,3.8,87,21.5,18.2,20.0,21.0
2019-06-10,0.2,993.6,1350.2,1.9,90,28.0,24.2,25.4,8.5
2019-07-01,1.5,993.3,1198.1,5.4,75,34.2,25.7,29.9,0.0
2019-08-05,1.9,992.6,1818.3,3.6,80,34.8,25.6,29.3,3.0
2019-09-02,2.5,998.5,1588.9,8.3,70,33.6,24.3,29.4,0.0
2019-10-16,0.1,1009.4,820.1,3,89,24.8,18.8,20.9,7.5
2019-11-04,0.0,1006.5,956.9,3.4,92,20.7,18.9,19.6,15.0
2019-12-02,0.2,1013.2,789.7,1.6,92,18.7,12.3,14.6,5.5
2020-01-13,0.7,1008.1,668.2,3.3,91,19.0,12.9,14.8,6.0
2020-02-03,0.5,1011.5,503.4,1.6,87,22.0,12.4,15.9,9.5
2020-03-19,0.1,1004.7,453.4,1.5,92,20.2,17.3,18.4,10.0
2020-04-06,1.5,1007.4,966.7,1.4,86,18.5,15.0,16.6,9.5
2020-05-04,0.8,999.6,888.8,5.6,77,35.2,22.8,27.8,0.0
2020-06-08,0.2,998.6,940.7,2,89,28.6,23.3,25.4,1.0
2020-07-06,0.2,997.1,478.8,2.2,78,35.2,24.6,29.1,0.0
2020-08-05,0.2,1001.0,327.0,1.4,81,33.0,24.6,27.9,0.5
2020-09-07,0.9,999.1,200.2,3.8,66,35.3,18.4,25.7,0.0
2020-10-12,0.3,1000.5,824.6,4.1,87,27.1,23.6,24.9,7.0
2020-11-02,1.4,1005.4,282.6,1.5,74,27.8,20.3,23.1,0.0
2020-12-07,0.0,1010.5,152.8,2.3,89,21.1,18.4,19.4,13.5
2021-01-28,0.0,1011.7,192.9,0.5,91,16.4,11.7,14.2,5.5
2021-02-01,0.9,1008.9,61.9,2.1,75,26.7,12.3,17.6,0.0
2021-03-15,1.0,1004.5,171.5,2.7,72,27.9,15.8,21.5,0.0
2021-04-13,0.7,1004.7,214.5,0.7,84,31.2,19.2,22.6,2.5
2021-05-04,0.2,1001.2,116.0,0,80,31.0,23.8,26.4,0.0
2021-06-01,0.4,997.7,689.2,7.5,84,32.6,22.5,25.7,74.5
2021-07-05,1.7,997.9,428.0,5.3,68,34.4,24.5,29.5,0.0
2021-08-02,0.3,988.4,1004.2,0.6,86,31.7,24.5,26.6,42.0
2021-09-13,0.9,995.2,1356.3,1.6,71,35.3,24.0,29.2,0.0
2021-10-04,3.3,1003.5,715.3,13.9,61,33.4,25.4,29.1,1.0
2021-11-08,0.2,1007.6,1429.5,4.7,88,22.2,14.4,18.2,35.0
2021-12-06,0.7,1010.6,243.9,0.9,80,22.7,14.1,17.7,8.5
2022-01-21,2.2,1009.2,278.4,5.3,87,18.3,15.5,16.8,30.0
2022-02-14,0.4,1008.5,430.4,7.6,89,15.3,13.1,14.2,33.5
2022-03-07,1.5,1006.8,328.7,3.9,93,17.1,10.6,14.3,47.5
2022-04-11,0.6,1000.6,418.9,2,76,32.1,20.2,24.8,0.0
2022-05-09,1.9,1007.0,218.2,5.2,61,25.6,11.0,18.8,0.5
2022-06-01,0.5,997.1,463.4,3.1,81,32.2,21.7,26.5,0.0
2022-07-04,0.4,995.3,397.1,13.1,83,34.2,24.3,27.5,0.5
2022-08-01,0.4,996.4,478.2,4.7,72,39.8,25.3,30.0,0.0
2022-09-15,0.4,995.1,376.0,2.3,78,34.2,22.5,26.5,0.0
2022-10-03,2.0,1003.2,537.3,1.2,66,34.7,24.3,28.7,0.0
2022-11-07,2.1,1007.3,198.7,0.6,78,26.0,20.2,22.6,1.0
2022-12-05,0.1,1010.2,77.8,0.1,89,19.5,15.6,17.6,14.5
